new entry "Fenrules_Target_Nondetection"
type "SpellData"
data "SpellType" "Target"
data "SpellSchool" "Abjuration"
data "SpellProperties" "ApplyStatus(NONDETECTION, 100, -1)"
data "TargetRadius" "1.5"
data "TargetConditions" "Item() or Ally() or Self()"
data "Icon" "Spell_Abjuration_Nondetection"
data "DisplayName" "058ec68aefdf4802b3a696b2a442db47;1"
data "Description" "876058c1a7e34d569a16a8dd0dbf4f0d;1"
data "TooltipStatusApply" "ApplyStatus(NONDETECTION, 100, -1)"
data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
data "CastTextEvent" "Cast"
data "PrepareSound" "Spell_Prepare_Buff_Gen_L1to3_01"
data "PrepareLoopSound" "Spell_Prepare_Buff_Gen_L1to3_01_Loop"
data "CastSound" "Spell_Cast_Buff_PassWithoutTrace_L1to3"
data "VocalComponentSound" "Vocal_Component_Invisibility"
data "TargetSound" "Spell_Impact_Buff_Bless_L1to3"
data "CycleConditions" "Item() or Ally() or Self()"
data "UseCosts" "ActionPoint:1;SpellSlotsGroup:1:1:1"
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;09ae2f11-f5b4-42f5-ae16-687a5b57d500,,;10caea0e-c949-4d91-8ab7-3b50019dd054,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsConcentration;IsSpell"
data "PrepareEffect" "33302a46-4a12-41dd-8845-6b7314d50022"
data "CastEffect" "1a4b0423-005b-4577-b376-815a08809675"
data "TargetEffect" "b51922cf-e412-4462-8274-144781bac7f3"
data "RitualCosts" "ActionPoint:1"
